colour,count,common uses
"#6f42c1",1,"--bs-purple | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1)"
"#fd7e14",1,"--bs-orange | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1)"
"#20c997",1,"--bs-teal | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1)"
"#343a40",1,"--bs-gray-dark | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1)"
"#fcf8e3",1,"background-color | mark,.mark (1)"
"rgba(0,0,0,0.05)",1,"--bs-table-striped-bg | .table (1)"
"rgba(0,0,0,0.1)",1,"--bs-table-active-bg | .table (1)"
"rgba(0,0,0,0.075)",1,"--bs-table-hover-bg | .table (1)"
"rgb(196.27,214.7,241.87)",1,"--bs-table-striped-bg | .table-primary (1)"
"rgb(191.105,209.05,235.505)",1,"--bs-table-hover-bg | .table-primary (1)"
"rgb(214.32,216.03,217.55)",1,"--bs-table-striped-bg | .table-secondary (1)"
"rgb(208.68,210.345,211.825)",1,"--bs-table-hover-bg | .table-secondary (1)"
"rgb(198.55,219.45,209.76)",1,"--bs-table-striped-bg | .table-success (1)"
"rgb(193.325,213.675,204.24)",1,"--bs-table-hover-bg | .table-success (1)"
"rgb(196.27,232.18,239.4)",1,"--bs-table-striped-bg | .table-info (1)"
"rgb(191.105,226.07,233.1)",1,"--bs-table-hover-bg | .table-info (1)"
"rgb(242.25,230.47,195.13)",1,"--bs-table-striped-bg | .table-warning (1)"
"rgb(235.875,224.405,189.995)",1,"--bs-table-hover-bg | .table-warning (1)"
"rgb(235.6,203.87,206.91)",1,"--bs-table-striped-bg | .table-danger (1)"
"rgb(229.4,198.505,201.465)",1,"--bs-table-hover-bg | .table-danger (1)"
"rgb(235.6,236.55,237.5)",1,"--bs-table-striped-bg | .table-light (1)"
"rgb(229.4,230.325,231.25)",1,"--bs-table-hover-bg | .table-light (1)"
"rgb(44.1,47.9,51.7)",1,"--bs-table-striped-bg | .table-dark (1)"
"rgb(49.65,53.35,57.05)",1,"--bs-table-hover-bg | .table-dark (1)"
"rgba(25,135,84,.9)",1,"background-color | .valid-tooltip (1)"
"rgba(220,53,69,.9)",1,"background-color | .invalid-tooltip (1)"
"rgb(9.75,82.5,189.75)",1,"border-color | .btn-check:checked+.btn-primary,.btn-check:active+.btn-primary,.btn-primary:active,.btn-primary.active,.show>.btn-primary.dropdown-toggle (1)"
"rgb(81,87.75,93.75)",1,"border-color | .btn-check:checked+.btn-secondary,.btn-check:active+.btn-secondary,.btn-secondary:active,.btn-secondary.active,.show>.btn-secondary.dropdown-toggle (1)"
"rgb(18.75,101.25,63)",1,"border-color | .btn-check:checked+.btn-success,.btn-check:active+.btn-success,.btn-success:active,.btn-success.active,.show>.btn-success.dropdown-toggle (1)"
"rgb(165,39.75,51.75)",1,"border-color | .btn-check:checked+.btn-danger,.btn-check:active+.btn-danger,.btn-danger:active,.btn-danger.active,.show>.btn-danger.dropdown-toggle (1)"
"rgb(24.75,27.75,30.75)",1,"border-color | .btn-check:checked+.btn-dark,.btn-check:active+.btn-dark,.btn-dark:active,.btn-dark.active,.show>.btn-dark.dropdown-toggle (1)"
"rgba(0,0,0,.7)",1,"color | .navbar-light .navbar-nav .nav-link:hover,.navbar-light .navbar-nav .nav-link:focus (1)"
"rgba(0,0,0,.3)",1,"color | .navbar-light .navbar-nav .nav-link.disabled (1)"
"hsla(0,0%,100%,.75)",1,"color | .navbar-dark .navbar-nav .nav-link:hover,.navbar-dark .navbar-nav .nav-link:focus (1)"
"hsla(0,0%,100%,.25)",1,"color | .navbar-dark .navbar-nav .nav-link.disabled (1)"
"hsla(0,0%,100%,.1)",1,"border-color | .navbar-dark .navbar-toggler (1)"
"rgb(11.7,99,227.7)",1,"color | .accordion-button:not(.collapsed) (1)"
"rgb(230.8,240.5,254.8)",1,"background-color | .accordion-button:not(.collapsed) (1)"
"rgb(6.24,52.8,121.44)",1,"color | .alert-primary .alert-link (1)"
"rgb(210.9,213.6,216)",1,"border-color | .alert-secondary (1)"
"rgb(51.84,56.16,60)",1,"color | .alert-secondary .alert-link (1)"
"rgb(186,219,203.7)",1,"border-color | .alert-success (1)"
"rgb(12,64.8,40.32)",1,"color | .alert-success .alert-link (1)"
"rgb(182.4,239.1,250.5)",1,"border-color | .alert-info (1)"
"rgb(4.16,64.64,76.8)",1,"color | .alert-info .alert-link (1)"
"rgb(255,236.4,180.6)",1,"border-color | .alert-warning (1)"
"rgb(81.6,61.76,2.24)",1,"color | .alert-warning .alert-link (1)"
"rgb(244.5,194.4,199.2)",1,"border-color | .alert-danger (1)"
"rgb(105.6,25.44,33.12)",1,"color | .alert-danger .alert-link (1)"
"rgb(252.9,253.2,253.5)",1,"border-color | .alert-light (1)"
"rgb(79.36,79.68,80)",1,"color | .alert-light .alert-link (1)"
"rgb(188.4,189.6,190.8)",1,"border-color | .alert-dark (1)"
"rgb(15.84,17.76,19.68)",1,"color | .alert-dark .alert-link (1)"
"rgb(228.24,228.42,228.6)",1,"background-color | .list-group-item-light.list-group-item-action:hover,.list-group-item-light.list-group-item-action:focus (1)"
"rgb(189.54,190.26,190.98)",1,"background-color | .list-group-item-dark.list-group-item-action:hover,.list-group-item-dark.list-group-item-action:focus (1)"
"rgba(54,54,53,.15)",1,"border | .dropdown-menu (1)"
"rgba(139,139,139,.5)",1,"border | .pagination>li>a (1)"
"#337ab7",1,"color | .pagination>li>a (1)"
"rgba(0,0,0,.075)",1,"box-shadow | .shadow-sm (1)"
"rgba(0,0,0,.175)",1,"box-shadow | .shadow-lg (1)"
"rgba(0,0,0,.5)",1,"color | .text-black-50 (1)"
"#ff253a",1,"background-color | .fa-layers-counter (1)"
"#e9e9e9",1,"background | .ui-widget-header (1)"
"#f6f6f6",1,"background | widget-content .ui-state-default,.ui-widget-header .ui-state-default,.ui-button,html .ui-button.ui-state-disabled:hover,html .ui-button.ui-state-disabled:active (1)"
"#5e9ed6",1,"box-shadow | .ui-visual-focus (1)"
"#f1a899",1,"border | .ui-state-error,.ui-widget-content .ui-state-error,.ui-widget-header .ui-state-error (1)"
"#fddfdf",1,"background | .ui-state-error,.ui-widget-content .ui-state-error,.ui-widget-header .ui-state-error (1)"
"#aaaaaa",1,"background | .ui-widget-overlay (1)"
"#c9302c",1,"border-color | .btn-danger.focus,.btn-danger:focus (1)"
"rgb(123.9,125.28,179.1)",1,"border | .file-drop-area (1)"
"rgba(193,101,139,.2)",1,"background-color | .file-drop-area.is-active (1)"
"#cbd5da",1,"border | .timeline-marker--incompleted:before (1)"
"#ccd5db",1,"background-color | .timeline-marker--incompleted:after (1)"
"#efefef",1,"border-left | .cookie-settings__item (1)"
"rgba(193,101,139,.9)",1,"background-color | .si-mega-menu__submenu--dark a.si-mega-menu__item:active (1)"
"rgba(98,123,142,.25)",1,"box-shadow | .si-mega-menu a.si-mega-menu__item:hover (1)"
"#727e8a",1,"border | .si-mega-menu a.si-mega-menu__item:focus,.si-mega-menu a.si-mega-menu__item:focus-visible,.si-mega-menu a.si-mega-menu__item:focus-within (1)"
"rgba(193,101,139,.8)",1,"background-color | .si-mega-menu__status-wrapper (1)"
"rgba(54,54,53,.2)",1,"background-color | .si-mega-menu__dropdown-btn.show~.si-mega-menu__backdrop (1)"
"#ffce4e",1,"background-color | .bg-colour--tertiary (1)"
"hsl(0,0%,95.7725490196%)",1,"background-color | .investor-type__title:hover,.investor-type__title:focus,.investor-type__title:active,.investor-type__title:active:hover,.investor-type__title:active:focus (1)"
"#b8b8b8",1,"color | .styled-checkbox:disabled~label (1)"
"#a4a1a1",1,"border | .styled-checkbox--rounded~label:before (1)"
"#6f777b",1,"color | .si-form-hint (1)"
"rgba(54,54,53,.35)",1,"border | .styled-selectbox (1)"
"rgba(113,113,110,.4)",1,"box-shadow | .forum-topics__item:hover,.forum-topics__item.active (1)"
"#da524e",1,"background | .forum-actions (1)"
"#d8d8d8",1,"border | .nda-box (1)"
"#fcfcfc",1,"background | .nda-box (1)"
"rgb(185.6805555556,82.8194444444,125.3055555556)",1,"background-color | list li.active a:focus,.isa-breadcrumbs__list li.active a:active,.isa-breadcrumbs__list li.active a:active:hover,.isa-breadcrumbs__list li.active a:active:focus (1)"
"#00927b",1,"background-color | .si-invest__radio:checked+label:before (1)"
"hsl(60,.9345794393%,21.4803921569%)",1,"color | .si-invest__hint (1)"
"hsl(60,.9345794393%,40.9803921569%)",1,"color | .si-portfolio-submenu__list-item a (1)"
"#00917a",1,"background | .si-badge--paid (1)"
"#c00000",1,"background | .si-badge--failure (1)"
"#ffae0d",1,"background | .si-badge--pending (1)"
"#297bb3",1,"background | .si-badge--refunded (1)"
"#f1f1f1",1,"background-color | .disclaimer-box (1)"
"#d1d0d0",1,"border | .disclaimer-box (1)"
"hsl(60,1.3452914798%,63.7254901961%)",1,"border-top-color | .si-resale__pitch .PitchInvestment-content hr,.si-resale__pitch--confirm .PitchInvestment-content hr (1)"
"hsl(60,1.3452914798%,48.7254901961%)",1,"border-bottom | .si-resale__pitch .PitchInvestment-amount,.si-resale__pitch--confirm .PitchInvestment-amount (1)"
"hsl(0,0%,75%)",1,"border | .si-resale__card (1)"
"rgb(248.6277777778,239.1722222222,243.0777777778)",1,"background | .si-resale__account-card.selected (1)"
"hsl(60,1.3452914798%,3.7254901961%)",1,"color | .si-resale__empty-list (1)"
"#66afe9",1,"border-color | .wpwl-control:focus,.wpwl-control:focus-within (1)"
"#e34c4c",1,"border-top | .alert-danger (1)"
"#e6f5e7",1,"background-color | .alert-success (1)"
"#77aa7b",1,"border-top | .alert-success (1)"
"#fff7e2",1,"background | .alert-warning (1)"
"#f8c635",1,"border-top | .alert-warning (1)"
"#203846",1,"color | .alert-inf (1)"
"#c4e4f6",1,"background | .alert-inf (1)"
"#6bbce9",1,"border-top | .alert-inf (1)"
"#b7b7b7",1,"border-bottom | .si-tabpanel (1)"
"#656565",1,"color | .timeline-horizontal__details (1)"
"rgba(0,0,0,.22)",1,"box-shadow | .risk-warning--footer (1)"
"#3d3d3d",1,"color | .risk-warning--again p (1)"
"rgb(0,219.7422680412,245)",1,"background | .styled-select__option.active (1)"
"rgba(128,127,127,.7)",1,"background | .risk-warning-modal__wrapper#cooling-off-modal (1)"
"rgba(54,54,53,.8)",1,"color | .risk-warning-modal__wrapper:not(.modal-content--cool-off) .modal-header .close (1)"
"rgba(252,249,249,.001)",1,"border | .modal-content (1)"
"rgba(32,37,49,.06)",1,"box-shadow | .modal-content (1)"
"#009eb3",1,"background-color | .bg-colour--lewisham,.bg-color--lewisham (1)"
"#a2bd30",1,"background-color | .bg-colour--suffolk,.bg-color--suffolk (1)"
"#0b2265",1,"background-color | .bg-colour--westminster,.bg-color--westminster (1)"
"hsla(0,0%,100%,.72)",1,"border-color | hr.si-horizontal-rule--invert (1)"
"#ffd9dd",1,"background-color | .si-badge__exterior--bordered-failure (1)"
"rgba(0,0,0,.1019607843)",1,"box-shadow | .abundance-dashboard-council-image (1)"
"#262626",1,"background-color | .abundance-dashboard-chart__tooltip (1)"
"#e7e7e7",1,"color | .abundance-dashboard-chart__tooltip-footer (1)"
"hsla(0,0%,100%,.28)",1,"background | .abundance-related-link::before (1)"
"rgba(0,174,194,.38)",1,"border-color | .abundance-chip-link:hover,.abundance-chip-link:focus-visible (1)"
"rgba(0,174,194,.06)",1,"background | .abundance-chip-link:hover,.abundance-chip-link:focus-visible (1)"
"hsla(0,0%,100%,.18)",1,"background-color | .abundance-blob--white-soft (1)"
"#fef8fb",1,"background-color | .abundance-radio-card--primary:has(input:checked) (1)"
"rgba(77,74,70,.8)",1,"color | .pitch-page-tabpanel__dropdown-panel:after (1)"
"rgba(151,151,151,0.15)",1,"background-image | .si-auth-password-button.active (1)"
"rgb(246.1024390244,111.8975609756,127.4682926829)",1,"border | .si-auth-breadcrumbs__checkmark.failed (1)"
"rgb(236.9166666667,210.0833333333,221.1666666667)",1,"background-color | .si-auth-progress-bar__overall (1)"
"rgba(151,151,151,.5)",1,"box-shadow | .si-auth-radio label:before (1)"
"rgba(31,143,38,.15)",1,"border-color | .si-auth-identity-doc__heading--valid (1)"
"rgba(193,12,33,.15)",1,"border-color | .si-auth-identity-doc__heading--invalid (1)"
"rgba(0,0,0,.08)",1,"box-shadow | .si-auth-card (1)"
"#a9a3ad",1,"color | .si-impact-feed__nav-item (1)"
"hsla(0,0%,100%,.3)",1,"background | [data-loading=true] (1)"
"rgba(54,54,53,.78)",1,"color | .si-card (1)"
